Type,Start,End,Length,Nodes Explored,Time,Distance,Cost
Breadth First Search - Recursive,1605,905,15,2500,0.182927,8.24,-1
Breadth First Search - Recursive,905,205,15,2500,0.274088,6.537,-1
Breadth First Search - Recursive,205,2006,38,2500,0.180584,18.491,-1
Breadth First Search - Recursive,2006,1306,15,2500,0.201219,7.287,-1
Breadth First Search - Recursive,1306,606,15,2500,0.35211,6.806,-1
Breadth First Search - Recursive,606,2407,38,2500,0.7156,16.632,-1
Breadth First Search - Recursive,2407,1707,15,2500,0.412762,9.096,-1
Breadth First Search - Recursive,1707,1007,15,2500,0.360999,6.123,-1
Breadth First Search - Recursive,1007,307,15,2500,0.323846,6.027,-1
Breadth First Search - Recursive,307,2108,38,2500,0.449053,15.499,-1
Breadth First Search - Recursive,2108,1408,15,2500,0.36397,5.983,-1
Breadth First Search - Recursive,1408,708,15,2500,0.22875,6.116,-1
Breadth First Search - Recursive,708,8,15,2500,0.391595,6.622,-1
Breadth First Search - Recursive,8,1809,38,2500,0.227764,18.725,-1
Breadth First Search - Recursive,1809,1109,15,2500,0.355685,7.569,-1
Breadth First Search - Recursive,1109,409,15,2500,0.317117,7.084,-1
Breadth First Search - Recursive,409,2210,38,2500,0.429297,18.696,-1
Breadth First Search - Recursive,2210,1510,15,2500,0.196895,5.785,-1
