Type,Start,End,Length,Nodes Explored,Time,Distance,Cost
Breadth First Search - Recursive,592,2393,38,2500,0.235535,12.993,-1
Breadth First Search - Recursive,2393,1693,15,2500,0.234355,6.387,-1
Breadth First Search - Recursive,1693,993,15,2500,0.233287,6.685,-1
Breadth First Search - Recursive,993,293,15,2500,0.23298,7.813,-1
Breadth First Search - Recursive,293,2094,38,2500,0.231443,17.554,-1
Breadth First Search - Recursive,2094,1394,15,2500,0.241082,7.328,-1
Breadth First Search - Recursive,1394,694,15,2500,0.229147,7.993,-1
Breadth First Search - Recursive,694,2495,38,2500,0.236784,17.453,-1
Breadth First Search - Recursive,2495,1795,15,161,0.236058,7.755,-1
Breadth First Search - Recursive,1795,1095,15,2500,0.2971,7.754,-1
Breadth First Search - Recursive,1095,395,15,2500,0.250017,8.046,-1
Breadth First Search - Recursive,395,2196,38,2500,0.250108,15.337,-1
Breadth First Search - Recursive,2196,1496,15,2500,0.254902,6.157,-1
Breadth First Search - Recursive,1496,796,15,2500,0.236293,4.162,-1
Breadth First Search - Recursive,796,96,15,2500,0.242742,7.424,-1
Breadth First Search - Recursive,96,1897,38,2500,0.246683,19.832,-1
Breadth First Search - Recursive,1897,1197,15,2500,0.232158,3.732,-1
Breadth First Search - Recursive,1197,497,15,2500,0.241264,8.338,-1
Breadth First Search - Recursive,497,2298,38,2500,0.242953,16.339,-1
Breadth First Search - Recursive,2298,1598,15,2500,0.256332,6.26,-1
Breadth First Search - Recursive,1598,898,15,2500,0.2493,6.877,-1
Breadth First Search - Recursive,898,198,15,2500,0.251712,6.08,-1
Breadth First Search - Recursive,198,1999,38,2500,0.286831,16.81,-1
Breadth First Search - Recursive,1999,1299,15,2500,0.291689,6.282,-1
Breadth First Search - Recursive,1299,599,15,2500,0.262379,7.139,-1
Breadth First Search - Recursive,599,2400,38,2500,0.257637,15.596,-1
Breadth First Search - Recursive,2400,1700,15,2500,0.283392,-1.0566E+270,-1
Breadth First Search - Recursive,1700,1000,15,2500,0.275777,6.503,-1
Breadth First Search - Recursive,1000,300,15,2500,0.267105,6.949,-1
Breadth First Search - Recursive,300,2101,87,2500,0.246861,44.418,-1
Breadth First Search - Recursive,2101,1401,15,2500,0.250184,6.366,-1
Breadth First Search - Recursive,1401,701,15,2500,0.240655,5.167,-1
Breadth First Search - Recursive,701,1,15,2500,0.240541,8.994,-1
Breadth First Search - Recursive,1,1802,38,2500,0.258224,17.597,-1
Breadth First Search - Recursive,1802,1102,15,2500,0.24128,5.38,-1
Breadth First Search - Recursive,1102,402,15,2500,0.273281,7.977,-1
